Program Version:,EnergyPlus, Version 22.2.0-c249759bad, YMD=2022.11.29 22:21
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ3A+elecres+slab+IECC_2015
Environment:,ANNUAL ** Dallas TX USA EPW WMO#=722590

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over       672.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Site Energy,6730.83,1.89,2.83
,Net Site Energy,6730.83,1.89,2.83
,Total Source Energy,21316.54,5.98,8.97
,Net Source Energy,21316.54,5.98,8.97


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [ft2]
,Total Building Area,3565.64
,Net Conditioned Building Area,2377.10
,Unconditioned Building Area,1188.55


End Uses

,,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Heating,3859.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,29.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,244.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,52.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,1598.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,250.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,696.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1693.90
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,6730.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1693.90
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Fans:Electricity,73.41,0.00,14-FEB-00:10,300.71,10-FEB-01:50
,Fans:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,Ventilation (simple):Fans:Electricity,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,Ventilation (simple):Fans:Electricity:Zone:LIVING_UNIT1,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,Electricity:HVAC,1212.33,0.00,14-FEB-00:10,6236.35,10-FEB-01:50
,General:Fans:Electricity,50.79,0.00,01-FEB-07:30,257.85,10-FEB-01:50
,Ventilation:Fans:Electricity,22.63,0.00,14-FEB-00:10,42.86,06-FEB-12:10
,ElectricityPurchased:Facility,1971.30,0.00,14-FEB-00:10,12489.01,20-FEB-00:10
,ElectricityPurchased:Plant,1971.30,0.00,14-FEB-00:10,12489.01,20-FEB-00:10
,Cogeneration:ElectricityPurchased,1971.30,0.00,14-FEB-00:10,12489.01,20-FEB-00:10
,General:Cogeneration:ElectricityPurchased,1971.30,0.00,14-FEB-00:10,12489.01,20-FEB-00:10
,ElectricitySurplusSold:Facility,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,ElectricitySurplusSold:Plant,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,Cogeneration:ElectricitySurplusSold,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,General:Cogeneration:ElectricitySurplusSold,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,ElectricityNet:Facility,1971.30,0.00,14-FEB-00:10,12489.01,20-FEB-00:10
,ElectricityNet:Plant,1971.30,0.00,14-FEB-00:10,12489.01,20-FEB-00:10
,Cogeneration:ElectricityNet,1971.30,0.00,14-FEB-00:10,12489.01,20-FEB-00:10
,General:Cogeneration:ElectricityNet,1971.30,0.00,14-FEB-00:10,12489.01,20-FEB-00:10
,HeatRecovery:Electricity,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,General:HeatRecovery:Electricity,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,ExteriorLights:Electricity,15.40,0.00,14-FEB-00:10,60.91,01-FEB-19:10
,Exterior-Lights:ExteriorLights:Electricity,13.79,0.00,01-FEB-06:10,52.25,01-FEB-00:10
,Garage-Lights:ExteriorLights:Electricity,1.60,0.00,14-FEB-00:10,8.66,01-FEB-19:10
,Heating:Electricity,1130.22,0.00,01-FEB-07:30,5935.64,10-FEB-01:50
,General:Heating:Electricity,1130.22,0.00,01-FEB-07:30,5935.64,10-FEB-01:50
,Cooling:Electricity,8.69,0.00,01-FEB-00:10,648.74,23-FEB-15:10
,General:Cooling:Electricity,8.69,0.00,01-FEB-00:10,648.74,23-FEB-15:10
,Electricity:Plant,203.96,0.00,01-FEB-00:10,5500.00,20-FEB-00:10
,WaterSystems:Electricity,203.96,0.00,01-FEB-00:10,5500.00,20-FEB-00:10
,Water Heater:WaterSystems:Electricity,203.96,0.00,01-FEB-00:10,5500.00,20-FEB-00:10
,Pumps:Electricity,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,General:Pumps:Electricity,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10


Annual and Peak Values - Natural Gas

,,Natural Gas Annual Value [therm],Natural Gas Minimum Value [Btu/h],Timestamp of Minimum {TIMESTAMP},Natural Gas Maximum Value [Btu/h],Timestamp of Maximum {TIMESTAMP}
,None,,,,,


Annual and Peak Values - Cooling

,,Cooling Annual Value [ton-hrs],Cooling Minimum Value [ton],Timestamp of Minimum {TIMESTAMP},Cooling Maximum Value [ton],Timestamp of Maximum {TIMESTAMP}
,None,,,,,


Annual and Peak Values - Water

,,Annual Value [ft3],Minimum Value [ft3/min],Timestamp of Minimum {TIMESTAMP},Maximum Value [ft3/min],Timestamp of Maximum {TIMESTAMP}
,Water:Facility,226.47,0.00,14-FEB-02:10,0.01,06-FEB-08:10
,Water:Plant,226.47,0.00,14-FEB-02:10,0.01,06-FEB-08:10
,WaterSystems:Water,226.47,0.00,14-FEB-02:10,0.01,06-FEB-08:10
,Domestic Hot Water:WaterSystems:Water,226.47,0.00,14-FEB-02:10,0.01,06-FEB-08:10
,MainsWater:Facility,226.47,0.00,14-FEB-02:10,0.01,06-FEB-08:10
,MainsWater:Plant,226.47,0.00,14-FEB-02:10,0.01,06-FEB-08:10
,WaterSystems:MainsWater,226.47,0.00,14-FEB-02:10,0.01,06-FEB-08:10
,Domestic Hot Water:WaterSystems:MainsWater,226.47,0.00,14-FEB-02:10,0.01,06-FEB-08:10
,Water Heater:WaterSystems:Water,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,Water Heater:WaterSystems:MainsWater,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10


Annual and Peak Values - Other by Weight/Mass

,,Annual Value [lb],Minimum Value [lb/s],Timestamp of Minimum {TIMESTAMP},Maximum Value [lb/s],Timestamp of Maximum {TIMESTAMP}
,Carbon Equivalent:Facility,0.00,0.000,01-FEB-00:10,0.000,01-FEB-00:10
,CarbonEquivalentEmissions:Carbon Equivalent,0.00,0.000,01-FEB-00:10,0.000,01-FEB-00:10


Annual and Peak Values - Other Volumetric

,,Annual Value [ft3],Minimum Value [ft3/min],Timestamp of Minimum {TIMESTAMP},Maximum Value [ft3/min],Timestamp of Maximum {TIMESTAMP}
,None,,,,,


Annual and Peak Values - Other Liquid/Gas

,,Annual Value [gal],Minimum Value [gal],Timestamp of Minimum {TIMESTAMP},Maximum Value [gal],Timestamp of Maximum {TIMESTAMP}
,None,,,,,


Annual and Peak Values - Other

,,Annual Value [kBtu],Minimum Value [Btu/h],Timestamp of Minimum {TIMESTAMP},Maximum Value [Btu/h],Timestamp of Maximum {TIMESTAMP}
,EnergyTransfer:Facility,7386.89,-36.4,19-FEB-08:00,36328.45,11-FEB-20:30
,EnergyTransfer:Building,2768.12,0.00,14-FEB-00:10,14897.52,10-FEB-01:50
,EnergyTransfer:Zone:LIVING_UNIT1,2768.12,0.00,14-FEB-00:10,14897.52,10-FEB-01:50
,Heating:EnergyTransfer,2558.35,0.00,01-FEB-07:30,14897.52,10-FEB-01:50
,Heating:EnergyTransfer:Zone:LIVING_UNIT1,2558.35,0.00,01-FEB-07:30,14897.52,10-FEB-01:50
,General:Heating:EnergyTransfer,2558.35,0.00,01-FEB-07:30,14897.52,10-FEB-01:50
,General:Heating:EnergyTransfer:Zone:LIVING_UNIT1,2558.35,0.00,01-FEB-07:30,14897.52,10-FEB-01:50
,Cooling:EnergyTransfer,209.77,0.00,01-FEB-00:10,7052.47,23-FEB-15:10
,Cooling:EnergyTransfer:Zone:LIVING_UNIT1,209.77,0.00,01-FEB-00:10,7052.47,23-FEB-15:10
,General:Cooling:EnergyTransfer,209.77,0.00,01-FEB-00:10,7052.47,23-FEB-15:10
,General:Cooling:EnergyTransfer:Zone:LIVING_UNIT1,209.77,0.00,01-FEB-00:10,7052.47,23-FEB-15:10
,EnergyTransfer:Zone:ATTIC_UNIT1,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,Heating:EnergyTransfer:Zone:ATTIC_UNIT1,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,General:Heating:EnergyTransfer:Zone:ATTIC_UNIT1,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,Cooling:EnergyTransfer:Zone:ATTIC_UNIT1,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,General:Cooling:EnergyTransfer:Zone:ATTIC_UNIT1,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,PlantLoopHeatingDemand:Facility,633.17,-36.4,19-FEB-08:00,2214.26,06-FEB-09:00
,PlantLoopHeatingDemand:Plant,633.17,-36.4,19-FEB-08:00,2214.26,06-FEB-09:00
,WaterSystems:PlantLoopHeatingDemand,633.17,-36.4,19-FEB-08:00,2214.26,06-FEB-09:00
,General:WaterSystems:PlantLoopHeatingDemand,633.17,-36.4,19-FEB-08:00,2214.26,06-FEB-09:00
,EnergyTransfer:HVAC,3985.60,0.00,01-FEB-07:30,20252.41,10-FEB-01:50
,HeatRecoveryForHeating:EnergyTransfer,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,HeatRecoveryForCooling:EnergyTransfer,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10
,HeatingCoils:EnergyTransfer,3859.04,0.00,01-FEB-07:30,20252.41,10-FEB-01:50
,CoolingCoils:EnergyTransfer,126.56,0.00,01-FEB-00:10,9054.48,23-FEB-15:10
,EnergyTransfer:Plant,633.17,-36.4,19-FEB-08:00,2214.26,06-FEB-09:00
,WaterSystems:EnergyTransfer,633.17,-36.4,19-FEB-08:00,2214.26,06-FEB-09:00
,Domestic Hot Water:WaterSystems:EnergyTransfer,633.17,-36.4,19-FEB-08:00,2214.26,06-FEB-09:00
,Water Heater:WaterSystems:PlantLoopHeatingDemand,0.00,0.00,01-FEB-00:10,0.00,01-FEB-00:10


----------------------------------------------------------------------------------------------------
REPORT:,Sensible Heat Gain Summary
FOR:,Entire Facility
Annual Building Sensible Heat Gain Components

,,HVAC Zone Eq & Other Sensible Air Heating [kBtu],HVAC Zone Eq & Other Sensible Air Cooling [ton-hrs],HVAC Terminal Unit Sensible Air Heating [kBtu],HVAC Terminal Unit Sensible Air Cooling [ton-hrs],HVAC Input Heated Surface Heating [kBtu],HVAC Input Cooled Surface Cooling [ton-hrs],People Sensible Heat Addition [kBtu],Lights Sensible Heat Addition [kBtu],Equipment Sensible Heat Addition [kBtu],Window Heat Addition [kBtu],Interzone Air Transfer Heat Addition [kBtu],Infiltration Heat Addition [kBtu],Opaque Surface Conduction and Other Heat Addition [kBtu],Equipment Sensible Heat Removal [kBtu],Window Heat Removal [kBtu],Interzone Air Transfer Heat Removal [kBtu],Infiltration Heat Removal [kBtu],Opaque Surface Conduction and Other Heat Removal [kBtu]
,LIVING_UNIT1,1.462,-68.14,2967.713,-8.53,0.000,0.000,403.735,244.123,1013.539,811.403,0.000,2.201,0.000,0.000,-1318.74,0.000,-1670.88,-1533.97
,ATTIC_UNIT1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1070.364,7.811,3399.991,0.000,0.000,-2.82,-4475.35,0.000
,Total Facility,1.462,-68.14,2967.713,-8.53,0.000,0.000,403.735,244.123,1013.539,811.403,1070.364,10.011,3399.991,0.000,-1318.74,-2.82,-6146.23,-1533.97


Peak Cooling Sensible Heat Gain Components

,,Time of Peak {TIMESTAMP},HVAC Zone Eq & Other Sensible Air Heating [Btu/h],HVAC Zone Eq & Other Sensible Air Cooling [ton],HVAC Terminal Unit Sensible Air Heating [Btu/h],HVAC Terminal Unit Sensible Air Cooling [ton],HVAC Input Heated Surface Heating [Btu/h],HVAC Input Cooled Surface Cooling [ton],People Sensible Heat Addition [Btu/h],Lights Sensible Heat Addition [Btu/h],Equipment Sensible Heat Addition [Btu/h],Window Heat Addition [Btu/h],Interzone Air Transfer Heat Addition [Btu/h],Infiltration Heat Addition [Btu/h],Opaque Surface Conduction and Other Heat Addition [Btu/h],Equipment Sensible Heat Removal [Btu/h],Window Heat Removal [Btu/h],Interzone Air Transfer Heat Removal [Btu/h],Infiltration Heat Removal [Btu/h],Opaque Surface Conduction and Other Heat Removal [Btu/h]
,LIVING_UNIT1,23-FEB-15:10,0.00,0.03,0.00,-0.6,0.00,0.00,172.58,294.57,1801.73,5856.86,0.00,755.05,0.00,0.00,0.00,0.00,0.00,-1828.3
,ATTIC_UNIT1,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Total Facility,23-FEB-15:10,0.00,0.03,0.00,-0.6,0.00,0.00,172.58,294.57,1801.73,5856.86,0.00,755.05,3598.54,0.00,0.00,-657.9,-4768.9,0.00


Peak Heating Sensible Heat Gain Components

,,Time of Peak {TIMESTAMP},HVAC Zone Eq & Other Sensible Air Heating [Btu/h],HVAC Zone Eq & Other Sensible Air Cooling [ton],HVAC Terminal Unit Sensible Air Heating [Btu/h],HVAC Terminal Unit Sensible Air Cooling [ton],HVAC Input Heated Surface Heating [Btu/h],HVAC Input Cooled Surface Cooling [ton],People Sensible Heat Addition [Btu/h],Lights Sensible Heat Addition [Btu/h],Equipment Sensible Heat Addition [Btu/h],Window Heat Addition [Btu/h],Interzone Air Transfer Heat Addition [Btu/h],Infiltration Heat Addition [Btu/h],Opaque Surface Conduction and Other Heat Addition [Btu/h],Equipment Sensible Heat Removal [Btu/h],Window Heat Removal [Btu/h],Interzone Air Transfer Heat Removal [Btu/h],Infiltration Heat Removal [Btu/h],Opaque Surface Conduction and Other Heat Removal [Btu/h]
,LIVING_UNIT1,20-FEB-00:02,-1602.1,0.00,15936.97,0.00,0.00,0.00,1111.37,90.64,1598.70,0.00,0.00,0.00,0.00,0.00,-3091.7,0.00,-1737.6,-12306.2
,ATTIC_UNIT1,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Total Facility,20-FEB-00:02,-1602.1,0.00,15936.97,0.00,0.00,0.00,1111.37,90.64,1598.70,0.00,1234.04,0.00,0.00,0.00,-3091.7,0.00,-3119.5,-12158.4


----------------------------------------------------------------------------------------------------
REPORT:,Standard 62.1 Summary
FOR:,Entire Facility
System Ventilation Requirements for Cooling

,,Sum of Zone Primary Air Flow - Vpz-sum [ft3/min],System Population - Ps,Sum of Zone Population - Pz-sum,Occupant Diversity - D,Origin of D,Uncorrected Outdoor Air Intake Airflow - Vou [ft3/min],System Primary Airflow - Vps [ft3/min],Average Outdoor Air Fraction - Xs,System Ventilation Efficiency - Ev,Calculation Method for Ev,Outdoor Air Intake Flow - Vot [ft3/min],Percent Outdoor Air - %OA,Environment Name of Peak System Population - Ps,Date and Time of Last Peak System Population - Ps
,CENTRAL SYSTEM_UNIT1,683.5998,0.0000,3.0000,1.0000,Calculated from schedules,0.0000,683.5998,0.0000,1.0000,Not calculated,0.0000,0.0000,,


System Ventilation Requirements for Heating

,,Sum of Zone Primary Air Flow - Vpz-sum [ft3/min],System Population - Ps,Sum of Zone Population - Pz-sum,Occupant Diversity - D,Origin of D,Uncorrected Outdoor Air Intake Airflow - Vou [ft3/min],System Primary Airflow - Vps [ft3/min],Average Outdoor Air Fraction - Xs,System Ventilation Efficiency - Ev,Calculation Method for Ev,Outdoor Air Intake Flow Vot [ft3/min],Percent Outdoor Air - %OA,Environment Name of Peak System Population - Ps,Date and Time of Last Peak System Population - Ps
,CENTRAL SYSTEM_UNIT1,683.5998,0.0000,3.0000,1.0000,Calculated from schedules,0.0000,683.5998,0.0000,1.0000,Not calculated,0.0000,0.0000,,


Zone Ventilation Parameters

,,AirLoop Name,People Outdoor Air Rate - Rp [ft3/min-person],Zone Population - Pz,Area Outdoor Air Rate - Ra [ft3/min-ft2],Zone Floor Area - Az [ft2],Breathing Zone Outdoor Airflow - Vbz [ft3/min],Cooling Zone Air Distribution Effectiveness - Ez-clg,Cooling Zone Outdoor Airflow - Voz-clg [ft3/min],Heating Zone Air Distribution Effectiveness - Ez-htg,Heating Zone Outdoor Airflow - Voz-htg [ft3/min]
,LIVING_UNIT1,CENTRAL SYSTEM_UNIT1,0.000000,3.0000,0.000000,2377.10,0.0000,1.0000,0.0000,1.000,0.0000


System Ventilation Parameters

,,People Outdoor Air Rate - Rp [ft3/min-person],Sum of Zone Population - Pz-sum,Area Outdoor Air Rate - Ra [ft3/min-ft2],Sum of Zone Floor Area - Az-sum [ft2],Breathing Zone Outdoor Airflow - Vbz [ft3/min],Cooling Zone Outdoor Airflow - Voz-clg [ft3/min],Heating Zone Outdoor Airflow - Voz-htg [ft3/min]
,CENTRAL SYSTEM_UNIT1,0.000000,3.00,0.000000,2377.0955,0.0000,0.0000,0.0000


Zone Ventilation Calculations for Cooling Design

,,AirLoop Name,Box Type,Zone Primary Airflow - Vpz [ft3/min],Zone Discharge Airflow - Vdz [ft3/min],Minimum Zone Primary Airflow - Vpz-min [ft3/min],Is Vpz-min calculated using the Standard 62.1 Simplified Procedure?,Zone Outdoor Airflow Cooling - Voz-clg [ft3/min],Primary Outdoor Air Fraction - Zpz,Primary Air Fraction - Ep,Secondary Recirculation Fraction- Er,Supply Air Fraction- Fa,Mixed Air Fraction - Fb,Outdoor Air Fraction - Fc,Zone Ventilation Efficiency - Evz
,LIVING_UNIT1,CENTRAL SYSTEM_UNIT1,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,683.5998,683.5998,683.5998,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000


System Ventilation Calculations for Cooling Design

,,Sum of Zone Primary Airflow - Vpz-sum [ft3/min],System Primary Airflow - Vps [ft3/min],Sum of Zone Discharge Airflow - Vdz-sum [ft3/min],Sum of Min Zone Primary Airflow - Vpz-min [ft3/min],Zone Outdoor Airflow Cooling - Voz-clg [ft3/min],Zone Ventilation Efficiency - Evz-min
,CENTRAL SYSTEM_UNIT1,683.5998,683.5998,683.5998,683.5998,0.0000,1.0000


Zone Ventilation Calculations for Heating Design

,,AirLoop Name,Box Type,Zone Primary Airflow - Vpz [ft3/min],Zone Discharge Airflow - Vdz [ft3/min],Minimum Zone Primary Airflow - Vpz-min [ft3/min],Is Vpz-min calculated using the Standard 62.1 Simplified Procedure?,Zone Outdoor Airflow Heating - Voz-htg [ft3/min],Primary Outdoor Air Fraction - Zpz,Primary Air Fraction - Ep,Secondary Recirculation Fraction- Er,Supply Air Fraction- Fa,Mixed Air Fraction - Fb,Outdoor Air Fraction - Fc,Zone Ventilation Efficiency - Evz
,LIVING_UNIT1,CENTRAL SYSTEM_UNIT1,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,683.5998,683.5998,683.5998,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000


System Ventilation Calculations for Heating Design

,,Sum of Zone Primary Airflow - Vpz-sum [ft3/min],System Primary Airflow - Vps [ft3/min],Sum of Zone Discharge Airflow - Vdz-sum [ft3/min],Sum of Min Zone Primary Airflow - Vpz-min [ft3/min],Zone Outdoor Airflow Heating - Voz-htg [ft3/min],Zone Ventilation Efficiency - Evz-min
,CENTRAL SYSTEM_UNIT1,683.5998,683.5998,683.5998,683.5998,0.0000,1.0000


----------------------------------------------------------------------------------------------------
REPORT:,LEED Summary
FOR:,Entire Facility
Sec1.1A-General Information

,,Data
,Weather File,ANNUAL ** Dallas TX USA EPW WMO#=722590
,Total gross floor area [ft2],3565.64
,Principal Heating Source,Electricity


EAp2-1. Space Usage Type

,,Space Area [ft2],Regularly Occupied Area [ft2],Unconditioned Area [ft2],Typical Hours/Week in Operation [hr/wk]
,LIVING_UNIT1,2377.10,2377.10,0.00,168.00
,ATTIC_UNIT1,1188.55,0.00,1188.55,0.00
,Totals,3565.64,2377.10,1188.55,


EAp2-2. Advisory Messages

,,Data
,Number of hours heating loads not met,204.17
,Number of hours cooling loads not met,0.00
,Number of hours not met,204.17


EAp2-3. Energy Type Summary

,,Utility Rate,Virtual Rate [$/unit energy],Units of Energy,Units of Demand
,None,,,,


EAp2-4/5. Performance Rating Method Compliance

,,Electricity Energy Use [kWh],Electricity Demand [W],Natural Gas Energy Use [therm],Natural Gas Demand [Btu/h],Gasoline Use [therm],Gasoline Demand [Btu/h],Diesel Use [kBtu],Diesel Demand [Btu/h],Coal Use [kBtu],Coal Demand [Btu/h],Fuel Oil No 1 Use [kBtu],Fuel Oil No 1 Demand [Btu/h],Fuel Oil No 2 Use [kBtu],Fuel Oil No 2 Demand [Btu/h],Propane Use [kBtu],Propane Demand [Btu/h],Other Fuel 1 Use [kBtu],Other Fuel 1 Demand [Btu/h],Other Fuel 2 Use [kBtu],Other Fuel 2 Demand [Btu/h],District Cooling Use [ton-hrs],District Cooling Demand [ton],District Heating Use [kBtu],District Heating Demand [Btu/h]
,Heating -- General,1130.22,5935.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling -- General,8.69,648.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting -- General,71.50,386.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting -- Exterior-Lights,13.79,52.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting -- Garage-Lights,1.60,8.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment -- dishwasher,11.16,58.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment -- refrigerator,40.30,91.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment -- clotheswasher,5.72,25.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment -- electric_dryer,50.55,213.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment -- electric_range,36.41,248.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment -- television,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment -- electric_mels,202.40,567.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment -- IECC_adj,121.57,340.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment -- Not Subdivided,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans -- Ventilation (simple),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans -- General,50.79,257.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans -- Ventilation,22.63,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
